date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:36:38	35094/35094	---M-Z	200	added ('OK')	text/html	etag:%228916-55510f6ccae00-gzip%22	http://html.rudhisasmito.com/walls/index.html	C:/My%20Web%20Sites/muhalaenterprises/html.rudhisasmito.com/walls/index.html	(from )
14:36:38	283/283	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Jul%202023%2013:36:38%20GMT	http://html.rudhisasmito.com/robots.txt		(from )
14:36:39	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-551c2e44844c0%22	http://html.rudhisasmito.com/walls/images/favicon.ico	C:/My%20Web%20Sites/muhalaenterprises/html.rudhisasmito.com/walls/images/favicon.ico	(from http://html.rudhisasmito.com/walls/index.html)
14:36:39	702/702	---M--	200	added ('OK')	image/png	etag:%222be-551c2e0c40000%22	http://html.rudhisasmito.com/walls/images/apple-touch-icon.png	C:/My%20Web%20Sites/muhalaenterprises/html.rudhisasmito.com/walls/images/apple-touch-icon.png	(from http://html.rudhisasmito.com/walls/index.html)
14:36:40	912/912	---M--	200	added ('OK')	image/png	etag:%22390-551bffdd8cac0%22	http://html.rudhisasmito.com/walls/images/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/muhalaenterprises/html.rudhisasmito.com/walls/images/apple-touch-icon-72x72.png	(from http://html.rudhisasmito.com/walls/index.html)
14:36:40	1291/1291	---M--	200	added ('OK')	image/png	etag:%2250b-551bff6df8380%22	http://html.rudhisasmito.com/walls/images/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/muhalaenterprises/html.rudhisasmito.com/walls/images/apple-touch-icon-114x114.png	(from http://html.rudhisasmito.com/walls/index.html)
14:36:42	20781/20781	---M-Z	200	added ('OK')	text/css	etag:%22512d-542dcbd41d5c0-gzip%22	http://html.rudhisasmito.com/walls/css/vendor/font-awesome.min.css	C:/My%20Web%20Sites/muhalaenterprises/html.rudhisasmito.com/walls/css/vendor/font-awesome.min.css	(from http://html.rudhisasmito.com/walls/index.html)
14:36:42	141414/141414	---M-Z	200	added ('OK')	text/css	etag:%2222866-50cf7ba15ce80-gzip%22	http://html.rudhisasmito.com/walls/css/vendor/bootstrap.min.css	C:/My%20Web%20Sites/muhalaenterprises/html.rudhisasmito.com/walls/css/vendor/bootstrap.min.css	(from http://html.rudhisasmito.com/walls/index.html)
14:36:43	3630/3630	---M-Z	200	added ('OK')	text/css	etag:%22e2e-532503a462000-gzip%22	http://html.rudhisasmito.com/walls/css/vendor/owl.carousel.min.css	C:/My%20Web%20Sites/muhalaenterprises/html.rudhisasmito.com/walls/css/vendor/owl.carousel.min.css	(from http://html.rudhisasmito.com/walls/index.html)
14:36:43	1055/1055	---M-Z	200	added ('OK')	text/css	etag:%2241f-532503d411080-gzip%22	http://html.rudhisasmito.com/walls/css/vendor/owl.theme.default.min.css	C:/My%20Web%20Sites/muhalaenterprises/html.rudhisasmito.com/walls/css/vendor/owl.theme.default.min.css	(from http://html.rudhisasmito.com/walls/index.html)
